code,description,qty_out
C/E020,C/E Matt Pastel Base 4l,28.0
C/E025,C/E Silicon Accent Base 1l,5.0
C/E026,C/E Silicon Accent Base 20l,4.0
C/E027,C/E Silicon Accent Base 4l,16.0
C/E028,C/E Silicon B/White 1l,2.0
C/E029,C/E Silicon B/White 20l,5.0
C/E030,C/E Silicon B/White 4l,5.0
C/E031,C/E Silicon Black 1l,6.0
C/E032,C/E Silicon Black 4l,1.0
C/E033,C/E Silicon Deep Base 1l,6.0
C/E034,C/E Silicon Deep Base 20l,3.0
C/E035,C/E Silicon Deep Base 4l,4.0
C/E036,C/E Silicon Pastel Base 1l,7.0
C/E037,C/E Silicon Pastel Base 20l,17.0
C/E038,C/E Silicon Pastel Base 4l,23.0
C/E040,C/E Silk Accent Base 1l,5.0
C/E041,C/E Silk Accent Base 20l,1.0
C/E042,C/E Silk Accent Base 4l,6.0
C/E043,C/E Silk Brill White 20l,6.0
C/E044,C/E Silk Deep Base 1l,6.0
C/E046,C/E Silk Deep Base 4l,9.0
C/E047,C/E Silk Pastel Base 1l,20.0
C/E048,C/E Silk Pastel Base 20l,12.0
C/E049,C/E Silk Pastel Base 4l,50.0
C/S002,C/S/G Accent Base 4l,16.0
C/S003,C/S/G Accent Base 1l,17.0
C/S009,C/S/G Black 1l,15.0
C/S010,C/S/G Black BITUMINOUS 4l,1.0
C/S012,C/S/G C/Varnish H/G 1l,3.0
C/S013,C/S/G C/Varnish H/G 4l,10.0
C/S014,C/S/G Clear Varnish Matt 1l,2.0
C/S016,C/S/G Clear Varnish Nc 4l,3.0
C/S017,C/S/G Deep Base 1l,2.0
C/S018,C/S/G Deep Base 4l,6.0
C/S020,C/S/G Eggshell Accent Base 1l,5.0
C/S021,C/S/G Eggshell Accent Base 4l,31.0
C/S022,C/S/G Eggshell Black 1l,1.0
C/S023,C/S/G Eggshell Black 4l,1.0
C/S025,C/S/G Eggshell Deep Base 4l,3.0
C/S027,C/S/G Eggshell Pastel 4l,13.0
C/S029,C/S/G Floor Paint Red Oxide 1l,1.0
C/S031,C/S/G Floor Paint Red Oxide 4L,1.0
C/S037,C/S/G Clear Varnish Matt 4l,0.0
C/S038,C/S/G Matt Finish Black 1l,2.0
C/S039,C/S/G Matt Finish Black 4l,0.0
C/S044,C/S/G Nc Clear Lacquer 4l,0.0
C/S046,C/S/G Pastel Base 1l,16.0
C/S047,C/S/G Pastel Base 4l,64.0
C/S048,C/S/G Roadline White 4l,2.0
C/S050,C/S/G Roadline Yellow 4l,1.0
C/S057,C/S/G Roofmaster Clear Base,26.0
C/S058,C/S/G Ruff & Tuff 30l-Normal,92.0
C/S061,C/S/G Sanding Sealer 1l,11.0
C/S062,C/S/G Sanding Sealer 4l,22.0
C/S068,C/S/G Thinner For Roadline 5L,5.0
C/S069,C/S/G Twopack Thinner 1l,1.0
C/S070,C/S/G Twopack Thinner 5l,6.0
C/S071,C/S/G Twopack V/Gloss 1l,2.0
C/S072,C/S/G Twopack V/Gloss 4l,10.0
C/S075,C/S/G Undercoat 1l,8.0
C/S076,C/S/G Undercoat 4l,12.0
C/S077,C/S/G Varnish Mahogany 1L,3.0
C/S079,C/S/G Vesta Black 4l,1.0
C/S080,C/S/G Vesta Floor Red 4l,1.0
C/S081,C/S/G Vesta Grey Oxide 1l-primer,14.0
C/S083,C/S/G Vesta Red Oxide 1l,1.0
C/S084,C/S/G Vesta Red Oxide 4l,1.0
C/S089,C/S/G Wood Primer White 4l,1.0
CAB001,Cable Clips 10mm,4.0
CAB002,Cable Clips 12mm,0.0
CAB005,Cable Clips Round 10mm,0.0
CAB006,Cable Ties 10,2.0
CAB007,Cable Ties 12,5.0
CAB011,Cable Ties Pcs,101.0
CAB014,Cable Clips 8mm,2.0
CEI002,Ceiling Board Plain,7.0
CEM001,Cement In Kgs,37.0
CEN001,Center Stopper,6.0
CER002,Cerrazo 1l,2.0
CER003,Cerrazo 5l,4.0
CES002,C/E Silk Bril White 1Ltr,1.0
CES003,C/E Silk Bril White 4 ltr,8.0
CEV002,C/S/G Vesta Primer Grey Oxide 4l,17.0
CHA002,Chain 3/16,2.0
CHA005,Chain Link 4ft,5.0
CHA006,Chain Link 5ft,4.0
CHA008,Chain Link 7ft,3.0
CHA009,Chain Link 8ft,3.0
CHA011,Chair Rubber Square 1,1.0
CHA013,Chair Rubber Square 3/4,0.0
CHA015,Chalk Line,3.0
CHA016,Chalk Carton,2.0
CHE002,Chequered Plate 2mm,1.0
CHI001,Chicken Wire 1/2x30 MTRS,20.0
CHI004,Chicken Wire Roll 1/2x30,18.0
CHI005,Chicken Wire Roll 1/2x6FT,1.0
CHI006,MDF Particle White,1.0
CHI009,Chisel 3/4,1.0
CHR001,Chrome Brackets 1,9.0
CHR004,Chrome Pipe 1,2.0
CIR002,Circular Blade 4.5,10.0
CIR003,Circular Blade 7,2.0
CIR008,Circular Box 3way 25mm,1.0
CIR009,Circular Box 4way 20mm,592.0
CIR010,Circular Box 4way 25mm,126.0
CIS004,Cistern High Lever,1.0
CIS005,Cistern Low Lever,1.0
CIS006,Cistern Top Flush,5.0
CLA001,Claw Bar 4ft,1.0
CLA003,Claw Bar 6ft,7.0
CLA006,Claw Hammer 27mm,1.0
CLE004,Clear Tape Big,2.0
CLO004,Close Couple Set,4.0
COA001,Coast Calcium,40.0
COA002,Coat Hook Double,1.0
COA003,Coat Hook Single,3.0
COF001,Coffee Tray Roll,1.0
COF002,Coffee Tray Mtrs,10.0
COL004,Colorant Fast Black,0.0
COL010,Colorant Fast Yellow Oxide,1.0
COL015,Colorant Int Yellow,2.0
COL016,Colorant Tmed Yellow,0.0
COM001,Complete Hinges 1,5.0
CON006,Conduit Metro 20mm,2378.0
CON007,Conduit Metro 25mm,771.0
CON008,Conduit Metro 32mm,186.0
CON009,Conduit Metro 38mm,3.0
CON010,Conduit Metro 50mm,61.0
CON012,Construction Net,4.0
CON015,Consumer Unit 4way,1.0
CON017,Consumer Unit 8way,6.0
CON021,Conta 1/2kg,3.0
CON023,Conta 100ml,3.0
CON024,Conta 1kg,15.0
CON025,Conta 4kg,15.0
CON026,Conta 50ml,4.0
COR004,Corner Strip Aluminium,24.0
COR007,Corner Strip L Shaped,112.0
COR008,Corner Strip Plastic White,2.0
COR010,Gypsum Corner Tape,11.0
COR011,Cornace Super Fix 5kg,7.0
COU001,Counter Sunk Screw 1,3.0
COU002,Counter Sunk Screw 1.5,8.0
COU004,Counter Sunk Screw 2,3.0
COU007,Coupler Threaded 20mm,150.0
COU008,Coupler Threaded 25mm,100.0
COU009,Couplers 20mm,4058.0
COU010,Couplers 25mm,1161.0
COU011,Couplers 32mm,240.0
COU012,Couplers 38mm,3.0
COU013,Couplers 50mm,40.0
CRO001,Crown Colorant B,32.0
CRO002,Crown Colorant C,3.0
CRO003,Crown Colorant D,2.0
CRO004,Crown Colorant E,1.0
CRO006,Crown Colorant High Yellow-QS,1.0
CRO007,Crown Colorant Kx,5.0
CRO008,Crown Colorant M/Yellow- T,1.0
CRO010,Crown Colorant Raw Umber-L,1.0
CRO011,Crown Colorant Red Oxide-F,2.0
CRO012,Crown Colorant Rn,0.0
CRO013,Crown Colorant V,1.0
CRO016,Crown Colorant Yellow Axx,0.0
CRO024,Crown Wallputty 25kg,138.0
CRO025,Crown Wallputty 1kg,74.5
CRO026,C/S/G Ruff & Tuff Stoneless,5.0
CSG002,C/S/G Aqua Glow B/W 4l,7.0
CSG004,C/S/G Varnish Mahogany 4L,1.0
CSG005,C/S/G Black 4l,9.0
CSG006,C/S/G Roadline Black 4l,6.0
CSG007,C/S/G Zinc phophate Grey 4 l,0.0
CSG009,C/S/G Ruff & Tuff 30l-White Base,50.0
CSG011,C/S/G Ruff & Tuff 30l-Clear Base,7.0
CUP003,Cup Wire Brush smooth,4.0
CUR007,Curtain Brackets Copper,2.0
CUR008,Curtain Brackets White,6.0
CUR013,Curtain Caps White,2.0
CUT001,Cut Out Double,2.0
CUT002,Cut Out Single,1.0
