code,description,qty_out
C/E018,C/E Matt Pastel Base 1l,11.0
C/E019,C/E Matt Pastel Base 20l,18.0
C/E020,C/E Matt Pastel Base 4l,23.0
C/E025,C/E Silicon Accent Base 1l,11.0
C/E026,C/E Silicon Accent Base 20l,6.0
C/E027,C/E Silicon Accent Base 4l,17.0
C/E029,C/E Silicon B/White 20l,5.0
C/E030,C/E Silicon B/White 4l,2.0
C/E031,C/E Silicon Black 1l,1.0
C/E032,C/E Silicon Black 4l,4.0
C/E033,C/E Silicon Deep Base 1l,7.0
C/E034,C/E Silicon Deep Base 20l,4.0
C/E035,C/E Silicon Deep Base 4l,7.0
C/E036,C/E Silicon Pastel Base 1l,21.0
C/E037,C/E Silicon Pastel Base 20l,32.0
C/E038,C/E Silicon Pastel Base 4l,27.0
C/E040,C/E Silk Accent Base 1l,15.0
C/E041,C/E Silk Accent Base 20l,1.0
C/E042,C/E Silk Accent Base 4l,9.0
C/E044,C/E Silk Deep Base 1l,15.0
C/E045,C/E Silk Deep Base 20l,3.0
C/E046,C/E Silk Deep Base 4l,12.0
C/E047,C/E Silk Pastel Base 1l,49.0
C/E048,C/E Silk Pastel Base 20l,44.0
C/E049,C/E Silk Pastel Base 4l,91.0
C/S002,C/S/G Accent Base 4l,26.0
C/S003,C/S/G Accent Base 1l,38.0
C/S009,C/S/G Black 1l,19.0
C/S010,C/S/G Black BITUMINOUS 4l,7.0
C/S011,C/S/G Black Board Paint 4l,1.0
C/S012,C/S/G C/Varnish H/G 1l,17.0
C/S013,C/S/G C/Varnish H/G 4l,44.0
C/S014,C/S/G Clear Varnish Matt 1l,2.0
C/S016,C/S/G Clear Varnish Nc 4l,3.0
C/S017,C/S/G Deep Base 1l,7.0
C/S018,C/S/G Deep Base 4l,6.0
C/S020,C/S/G Eggshell Accent Base 1l,4.0
C/S021,C/S/G Eggshell Accent Base 4l,1.0
C/S022,C/S/G Eggshell Black 1l,2.0
C/S023,C/S/G Eggshell Black 4l,3.0
C/S024,C/S/G Eggshell Deep Base 1l,0.0
C/S025,C/S/G Eggshell Deep Base 4l,1.0
C/S026,C/S/G Eggshell Pastel 1l,0.0
C/S027,C/S/G Eggshell Pastel 4l,3.0
C/S029,C/S/G Floor Paint Red Oxide 1l,1.0
C/S031,C/S/G Floor Paint Red Oxide 4L,0.0
C/S037,C/S/G Clear Varnish Matt 4l,9.0
C/S038,C/S/G Matt Finish Black 1l,12.0
C/S039,C/S/G Matt Finish Black 4l,9.0
C/S041,C/S/G Mulipurpose Varnish 1,4.0
C/S042,C/S/G Mulipurpose Varnish 4,0.0
C/S043,C/S/G Nc Clear Lacquer 1l,2.0
C/S044,C/S/G Nc Clear Lacquer 4l,2.0
C/S046,C/S/G Pastel Base 1l,26.0
C/S047,C/S/G Pastel Base 4l,48.0
C/S048,C/S/G Roadline White 4l,4.0
C/S050,C/S/G Roadline Yellow 4l,2.0
C/S053,C/S/G Roof Green 4l,1.0
C/S058,C/S/G Ruff & Tuff 30l-Normal,62.0
C/S059,C/S/G S/White 1l,0.0
C/S061,C/S/G Sanding Sealer 1l,19.0
C/S062,C/S/G Sanding Sealer 4l,62.0
C/S068,C/S/G Thinner For Roadline 5L,3.0
C/S069,C/S/G Twopack Thinner 1l,2.0
C/S070,C/S/G Twopack Thinner 5l,9.0
C/S071,C/S/G Twopack V/Gloss 1l,3.0
C/S072,C/S/G Twopack V/Gloss 4l,2.0
C/S074,C/S/G Twopack V/Matt 4l,0.0
C/S075,C/S/G Undercoat 1l,13.0
C/S076,C/S/G Undercoat 4l,29.0
C/S077,C/S/G Varnish Mahogany 1L,6.0
C/S078,C/S/G Vesta Black 1l,3.0
C/S079,C/S/G Vesta Black 4l,2.0
C/S081,C/S/G Vesta Grey Oxide 1l-primer,26.0
C/S083,C/S/G Vesta Red Oxide 1l,2.0
C/S084,C/S/G Vesta Red Oxide 4l,3.0
C/S086,C/S/G Vesta White 1l,1.0
C/S087,C/S/G Vesta White 4l,1.0
C/S089,C/S/G Wood Primer White 4l,0.0
CAB001,Cable Clips 10mm,14.0
CAB002,Cable Clips 12mm,6.0
CAB003,Cable Clips 9mm,5.0
CAB005,Cable Clips Round 10mm,12.0
CAB006,Cable Ties 10,12.0
CAB007,Cable Ties 12,7.0
CAB008,Cable Ties 14,10.0
CAB009,Cable Ties 6,12.0
CAB010,Cable Ties 8,4.0
CAB011,Cable Ties Pcs,83.0
CAB014,Cable Clips 8mm,0.0
CAL001,Caliper,0.0
CAR004,Carpet Brush,13.0
CEA001,C/S/G Aqua Glow Pastel 4L,2.0
CEC001,C/E Covermatt Pastel 20l,2.0
CEI001,Ceiling Board Flowered,18.0
CEI002,Ceiling Board Plain,8.0
CEM001,Cement In Kgs,453.4
CEN001,Center Stopper,42.0
CER001,Ceramic Cistern,0.0
CER003,Cerrazo 5l,6.0
CEV002,C/S/G Vesta Primer Grey Oxide 4l,79.0
CHA001,Chain 1/4,6.0
CHA002,Chain 3/16,8.0
CHA005,Chain Link 4ft,8.0
CHA006,Chain Link 5ft,14.0
CHA007,Chain Link 6ft,16.0
CHA008,Chain Link 7ft,6.0
CHA009,Chain Link 8ft,14.0
CHA011,Chair Rubber Square 1,0.0
CHA012,Chair Rubber Square 2,0.0
CHA014,Chalk pcs,484.0
CHA015,Chalk Line,3.0
CHA016,Chalk Carton,30.0
CHA017,Chalk Pkt,0.0
CHE001,Chequered Plate 16g,0.0
CHI001,Chicken Wire 1/2x30 MTRS,55.0
CHI004,Chicken Wire Roll 1/2x30,74.0
CHI006,MDF Particle White,5.0
CHI009,Chisel 3/4,0.0
CHR001,Chrome Brackets 1,15.0
CHR003,Chrome Brackets 3/4,1.0
CHR004,Chrome Pipe 1,7.0
CHR005,Chrome Pipe 3/4,0.0
CIR002,Circular Blade 4.5,6.0
CIR003,Circular Blade 7,8.0
CIR004,Circular Blade 9,17.0
CIR005,Circular Box 1way 25mm,2.0
CIR006,Circular Box 2way,5.0
CIR007,Circular Box 3way 20mm,72.0
CIR008,Circular Box 3way 25mm,36.0
CIR009,Circular Box 4way 20mm,859.0
CIR010,Circular Box 4way 25mm,104.0
CIR011,Circular Box 1 way 20MM,3.0
CIS001,Cistern Ball Valve,1.0
CIS005,Cistern Low Lever,0.0
CIS006,Cistern Top Flush,5.0
CLA001,Claw Bar 4ft,14.0
CLA002,Claw Bar 5ft,6.0
CLA003,Claw Bar 6ft,9.0
CLE001,Cleanox 1l,2.0
CLE004,Clear Tape Big,24.0
CLO001,Close Couple Ball Valve,2.0
CLO004,Close Couple Set,2.0
COA001,Coast Calcium,169.0
COA002,Coat Hook Double,0.0
COA003,Coat Hook Single,0.0
COF001,Coffee Tray Roll,2.0
COF002,Coffee Tray Mtrs,26.5
COL001,Colorant Ext Orange,0.0
COL004,Colorant Fast Black,26.0
COL005,Colorant Fast Blue,3.0
COL006,Colorant Fast Green,1.0
COL007,Colorant Fast Magenta,11.0
COL008,Colorant Fast Red Oxide,3.0
COL009,Colorant Fast Violet,2.0
COL010,Colorant Fast Yellow Oxide,2.0
COL011,Colorant Ht Blue,4.0
COL013,Colorant Ht White,22.0
COL016,Colorant Tmed Yellow,3.0
COM001,Complete Hinges 1,9.0
CON001,Conduit 20mm,253.0
CON002,Conduit 25mm,84.0
CON003,Conduit 32mm,11.0
CON004,Conduit 38mm,7.0
CON006,Conduit Metro 20mm,3310.0
CON007,Conduit Metro 25mm,786.0
CON008,Conduit Metro 32mm,203.0
CON009,Conduit Metro 38mm,4.0
CON010,Conduit Metro 50mm,51.0
CON012,Construction Net,18.0
CON013,Consumer Unit 10way,6.0
CON014,Consumer Unit 14way,1.0
CON015,Consumer Unit 4way,5.0
CON016,Consumer Unit 6way,2.0
CON017,Consumer Unit 8way,2.0
CON021,Conta 1/2kg,8.0
CON022,Conta 1/4kg,10.0
CON023,Conta 100ml,6.0
CON024,Conta 1kg,8.0
CON025,Conta 4kg,12.0
CON026,Conta 50ml,13.0
CON028,Consumer Unit 12way,0.0
COO002,Cooker Unit Socket,1.0
COR004,Corner Strip Aluminium,86.0
COR006,Corner Strip Gold,0.0
COR007,Corner Strip L Shaped,297.0
COR008,Corner Strip Plastic White,3.0
COR010,Gypsum Corner Tape,40.0
COR011,Cornace Super Fix 5kg,0.0
COU001,Counter Sunk Screw 1,13.0
COU002,Counter Sunk Screw 1.5,1.0
COU004,Counter Sunk Screw 2,11.0
COU009,Couplers 20mm,6693.0
COU010,Couplers 25mm,1289.0
COU011,Couplers 32mm,268.0
COU012,Couplers 38mm,23.0
COU013,Couplers 50mm,135.0
CRO001,Crown Colorant B,28.0
CRO002,Crown Colorant C,13.0
CRO003,Crown Colorant D,3.0
CRO004,Crown Colorant E,2.0
CRO005,Crown Colorant Ext Orange Us,1.0
CRO006,Crown Colorant High Yellow-QS,4.0
CRO007,Crown Colorant Kx,13.0
CRO008,Crown Colorant M/Yellow- T,4.0
CRO009,Crown Colorant R,0.0
CRO010,Crown Colorant Raw Umber-L,3.0
CRO011,Crown Colorant Red Oxide-F,6.0
CRO012,Crown Colorant Rn,1.0
CRO013,Crown Colorant V,4.0
CRO014,Crown Colorant Violet-Zs,1.0
CRO015,Crown Colorant Yellow An,1.0
CRO016,Crown Colorant Yellow Axx,2.0
CRO018,Crown Polyfilla 2.5kg,6.0
CRO024,Crown Wallputty 25kg,784.0
CRO025,Crown Wallputty 1kg,46.0
CRO026,C/S/G Ruff & Tuff Stoneless,15.0
CSG002,C/S/G Aqua Glow B/W 4l,2.0
CSG003,C/E Vesta White 20l,1.0
CSG004,C/S/G Varnish Mahogany 4L,1.0
CSG005,C/S/G Black 4l,24.0
CSG006,C/S/G Roadline Black 4l,3.0
CSG007,C/S/G Zinc phophate Grey 4 l,2.0
CSG009,C/S/G Ruff & Tuff 30l-White Base,3.0
CSG010,C/S/G Vesta Red Oxide 4l-Primer,2.0
CSG011,C/S/G Ruff & Tuff 30l-Clear Base,79.0
CSG014,C/S/G Twopack C/Varnish Satin 4lt,4.0
CUL001,Culvert 300mm,2.0
CUL002,Culvert 450mm,14.0
CUR001,Curtain Balls Black,5.0
CUR002,Curtain Balls Copper,0.0
CUR005,Curtain Balls White,4.0
CUR008,Curtain Brackets White,0.0
CUR009,Curtain Caps Black,0.0
CUR010,Curtain Caps Copper,0.0
CUR011,Curtain Caps Gold,0.0
CUR012,Curtain Caps Silver,6.0
CUR013,Curtain Caps White,0.0
CUR018,Curtain Rod 2m,0.0
CUT001,Cut Out Double,6.0
CUT002,Cut Out Single,9.0
CUT006,Cutting Disk Diamond 4,116.0
CUT007,Cutting Disk Diamond 7,17.0
CUT008,Cutting Disk Diamond 9,69.0
CUT009,Cutting Disk Metal 4,28.0
CUT010,Grinding Disk 7.,142.0
CUT011,Cutting Disk Metal 9,173.0
CUT012,Cutting Disk Slim 4,205.0
CUT013,Cutting Disk Slim 9,808.0
CUT015,Cutting Disk Metal 7,16.0
CYP001,Syphone,3.0
CYP003,Syphon Top Flush,0.0
D 1001,D 10,27277.0
D 1002,D 12,12472.0
D 1003,D 16,4502.0
D 2001,D 20,834.0
D 2002,D 25,269.0
D 3001,D 32,140.0
D 8001,D 8,24862.0
D/B002,D/Basco Black 1l,3.0
D/B003,D/Basco Black 4l,1.0
D/B004,D/Basco Cream 1/2l,0.0
D/B005,D/Basco Cream 1l,0.0
D/B006,D/Basco White 1/2l,4.0
D/B007,D/Basco White 1l,3.0
D/B008,D/Basco White 4l,4.0
D/E004,D/E Matt Brilliant White 1l,0.0
D/E006,D/E Matt Brilliant White 4l,0.0
D/E008,D/E Sf Brill White 20l,44.0
D/E009,D/E Sf Brill White 4l,19.0
D/E010,D/E Sf Brilliant White 1l,5.0
D/E012,D/E Silk S/White 4l,1.0
D/E014,D/E Silk White 1l,0.0
D/E015,D/E Silk White 4l,1.0
D/G002,D/G Black 1l,0.0
D/G003,D/G Black 4l,1.0
D/S001,D/S/G White 1l,1.0
D10003,D 10-Kifaru,1092.0
D12003,D 12-Kifaru,520.0
D16003,D 16-Kifaru,463.0
D20002,D 20-Kifaru,110.0
D20004,D 20-Kifaru,472.0
D25001,D 25- Kifaru,694.0
D8K001,D 8 -Kifaru,950.0
DAM001,Variance/DG Goods Sold,2.0
DAY010,Waterpump Dayliff 0.5HP,2.0
DOO001,Door Bell Ding Dong,4.0
DOO002,Door Bell Switch,18.0
DOO004,Door Frame 7ft,0.0
DOO005,Door Stopper,5.0
DOO006,Door Stopper Steel,0.0
DOO013,Double Sided Tape,1.0
DOV001,Dovetail Tank 1000l Rect,0.0
DOV007,Dovetail Tank 10000l,0.0
DOV008,Dovetail Tank 1000l,2.0
DOV011,Dovetail Tank 3000l,0.0
DOV012,Dovetail Tank 5000l,2.0
DOW001,Down Stoppers,259.0
DPC001,Dpc,52.0
DR 004,Dr Fixit Pidiproof 1l,28.0
DR 005,Dr Fixit Pidiproof 20l,14.0
DR 006,Dr Fixit Pidiproof 5l,4.0
DR 007,Dr Fixit Superlatex 1l,8.0
DR 009,Dr Fixit Sureseal 1kg,6.0
DR 010,Dr Fixit Sureseal 5kg,3.0
DR 012,Dr Fixit Waterproof Powder,1805.0
DRA001,Drain Opener 1kg,1.0
DRA005,Drawer Handle Small Gold,35.0
DRA007,Drawer Handles Brass 6,1.0
DRA008,Drawer Handles Brass 9,10.0
DRA014,Drawer Knobs,178.0
DRA016,Drawer Lock Evergood,9.0
