code,description,qty_out
BOS007,Bosch Cutting Slim 9,45.0
BOS008,Bosch Circular Saw Blade7 40T,1.0
BOS009,Bosch Circular Saw Blade 7 60T,1.0
BOS010,Bosch Circular Saw Blade 9 40T,2.0
BOS011,Bosch Circular Saw Blade 9 60T,2.0
BOS012,Bosch Circular Saw Blade 10 60T,1.0
BOS013,Bosch Flap Disc 4 P60,1.0
BOS015,Bosch Sanding DiscP60,0.0
BOS016,Bosch Cutting Diamond 4,9.0
BOS017,Bosch Cutting Diamond 9,0.0
BOS018,Bosch cutting Ceramic 4,4.0
BOS019,Bosch Hole saw Pkt,1.0
BOS020,Bosch Blade For Wood Set,1.0
BOS021,Bosch Saw Blade Set,1.0
BOS022,Bosch Drill Bit 3mm,1.0
BOS023,Bosch Drill Bit 4mm,0.0
BOS024,Bosch Drill Bit 5mm,1.0
BOS025,Bosch Drill Bit 6mm,1.0
BOS026,Bosch Bit Hard Metal 8mm,0.0
BOS027,Bosch Router Bit Set 471,0.0
BOS028,Bosch Bit Set 472,0.0
BOS029,Bosch Sand Paper P60,0.0
BOS030,Bosch Sand Paper P120,1.0
BOS031,Bosch Router Bit Set 464,1.0
BOS032,Bosch Hilt Bit 6mm,4.0
BOS033,Bosch Hilt Bit 8mm,1.0
BOS034,Bosch Hilt Bit 10mm,1.0
BOS035,Bosch Accessory Set,4.0
BOS036,Bosch Cordless Impact Drill,2.0
BOS037,Bosch Drill 400w,2.0
BOS038,Bosch Angle Grinder small- OLO,6.0
BOS039,Bosch Angle Grinder Big -OPO,2.0
BOS040,Bosch Straight Grinder,0.0
BOS041,Bosch Jigsaw,1.0
BOS042,Bosch Circular Hand saw,0.0
BOS043,Bosch Orbital Sander,0.0
BOS044,Bosch Industrial Router,0.0
BOS045,Bosch Heat Gun 180,1.0
BOS046,Bosch Laser Tape Measure -WOO,1.0
BOS047,Bosch Laser Tape Measure S00,2.0
BOS048,Bosch Optical Level,0.0
BOS049,Bosch Laser Level 320,2.0
BOS050,Bosch Screw Driver bit-2608521042,3.0
BOS051,Bosch Angle polisher GPO14CE,0.0
BOS052,Bosch Cordless Screw Driver Go kit,1.0
BOT001,Bottle Trap 11/2 malpine,1.0
BOT002,Bottle Trap 11/4 Malpine,0.0
BOT007,"Magic Connector Plastic 11/2""",19.0
BOT009,"Magic Connector Plastic 11/4""",7.0
BOT010,Bottle Trap Viega 1 1/4,23.0
BOT011,Bottle Trap Viega 11/2,52.0
BOW001,Bow Saw,1.0
BRA001,Construction Net Mtrs,28.0
BRC001,Brc 610,3.0
BRC003,Brc A142 Std,95.0
BRC004,Brc A66,4.0
BRC005,Brc A98 Std,54.0
BRO001,Broom/Rake Handles,101.0
BRU001,Brush Fixtec 1,71.0
BRU002,Brush Fixtec 2,166.0
BRU003,Brush Fixtec 3,113.0
BRU004,Brush Fixtec 4,192.0
BRU005,Brush Fixtec 6,236.0
BRU007,Brush Premium 2,83.0
BRU009,Brush Premium 3,63.0
BRU010,Brush Premium 4,159.0
BRU011,Brush Premium 5,19.0
BRU012,Brush Premium 6,142.0
BRU013,Brush Fixtec 5,53.0
BRU014,"Brush Premium 2.5""",5.0
BUC001,Buckets,209.0
BUL001,Bulb Energy Saver Pin 7w,13.0
BUL002,Bulb Energy Saver Pin 9w,29.0
BUL003,Bulb Energy Saver Screw 7w,12.0
BUL004,Bulb Eneryg Saver Screw 9w,35.0
BUL006,Bulb Filament 4w,1.0
BUL007,Bulb Holder Angle,1.0
BUL008,Bulb Holder Ceiling Rose,13.0
BUL009,Bulb Holder Pin,14.0
BUL010,Bulb Holder Screw,7.0
BUL011,Bulb Holder Straight,37.0
BUL015,Bulk Head Fitting,0.0
BUS002,"Bush JK 1/2""",134.0
BUS003,"Bush JK 11/2""",36.0
BUS004,"Bush JK 11/4""",4.0
BUS005,"Bush JK 3/4""",0.0
BUS007,Bush Ball 11/2x4,5.0
BUS008,Bush Ball 11/4x4,10.0
BUS009,Bush Ball 1x4,55.0
BUS010,Bush Ball 3/4x4,47.0
BUS015,Bush Smooth 1,35.0
BUS016,Bush Smooth 11/2,24.0
BUS017,Bush Smooth 11/4,19.0
BUS018,Bush Smooth 3/4,67.0
BUS019,Bush smooth 1/2,62.0
BUT005,Butterfly Bush 3/4,20.0
BUT006,"Butterfly Bush 1"" imported",136.0
BUT007,"Butterfly Bush 3/4"" imported",60.0
C/ 002,C/ Roofmaster Beetle Green 4,0.0
C/ 004,C/ Transeal 1l,5.0
C/ 005,C/ Transeal 4l,35.0
C/E001,C/S/G Aqua Glow Accent 4l,2.0
C/E004,C/E Covermatt White 1l,52.0
C/E005,C/E Covermatt White 20l,384.0
C/E006,C/E Covermatt White 4l,213.0
C/E007,C/E Matt Accent Base 1l,16.0
C/E008,C/E Matt Accent Base 20l,9.0
C/E009,C/E Matt Accent Base 4l,12.0
C/E012,C/E Matt Black 1l,5.0
C/E014,C/E Matt Black 4l,6.0
C/E015,C/E Matt Deep Base 1l,3.0
C/E016,C/E Matt Deep Base 20l,0.0
C/E017,C/E Matt Deep Base 4l,2.0
C/E018,C/E Matt Pastel Base 1l,41.0
C/E019,C/E Matt Pastel Base 20l,80.0
C/E020,C/E Matt Pastel Base 4l,85.0
C/E025,C/E Silicon Accent Base 1l,33.0
C/E026,C/E Silicon Accent Base 20l,8.0
C/E027,C/E Silicon Accent Base 4l,42.0
C/E028,C/E Silicon B/White 1l,2.0
C/E029,C/E Silicon B/White 20l,21.0
C/E030,C/E Silicon B/White 4l,19.0
C/E031,C/E Silicon Black 1l,6.0
C/E032,C/E Silicon Black 4l,8.0
C/E033,C/E Silicon Deep Base 1l,17.0
C/E034,C/E Silicon Deep Base 20l,8.0
C/E035,C/E Silicon Deep Base 4l,14.0
C/E036,C/E Silicon Pastel Base 1l,41.0
C/E037,C/E Silicon Pastel Base 20l,41.0
C/E038,C/E Silicon Pastel Base 4l,81.0
C/E040,C/E Silk Accent Base 1l,21.0
C/E041,C/E Silk Accent Base 20l,1.0
C/E042,C/E Silk Accent Base 4l,25.0
C/E043,C/E Silk Brill White 20l,19.0
C/E044,C/E Silk Deep Base 1l,12.0
C/E045,C/E Silk Deep Base 20l,7.0
C/E046,C/E Silk Deep Base 4l,18.0
C/E047,C/E Silk Pastel Base 1l,81.0
C/E048,C/E Silk Pastel Base 20l,93.0
C/E049,C/E Silk Pastel Base 4l,230.0
C/S002,C/S/G Accent Base 4l,97.0
C/S003,C/S/G Accent Base 1l,74.0
C/S009,C/S/G Black 1l,50.0
C/S010,C/S/G Black BITUMINOUS 4l,35.0
C/S012,C/S/G C/Varnish H/G 1l,39.0
C/S013,C/S/G C/Varnish H/G 4l,72.0
C/S014,C/S/G Clear Varnish Matt 1l,7.0
C/S016,C/S/G Clear Varnish Nc 4l,6.0
C/S017,C/S/G Deep Base 1l,17.0
C/S018,C/S/G Deep Base 4l,22.0
C/S020,C/S/G Eggshell Accent Base 1l,6.0
C/S021,C/S/G Eggshell Accent Base 4l,35.0
C/S022,C/S/G Eggshell Black 1l,1.0
C/S023,C/S/G Eggshell Black 4l,3.0
C/S024,C/S/G Eggshell Deep Base 1l,3.0
C/S025,C/S/G Eggshell Deep Base 4l,3.0
C/S026,C/S/G Eggshell Pastel 1l,3.0
C/S027,C/S/G Eggshell Pastel 4l,14.0
C/S028,C/S/G Floor Grey 4l,2.0
C/S029,C/S/G Floor Paint Red Oxide 1l,7.0
C/S031,C/S/G Floor Paint Red Oxide 4L,8.0
C/S037,C/S/G Clear Varnish Matt 4l,16.0
C/S038,C/S/G Matt Finish Black 1l,10.0
C/S039,C/S/G Matt Finish Black 4l,8.0
C/S044,C/S/G Nc Clear Lacquer 4l,1.0
